,,,,STAT OVERVIEW,,,,,,,,,,,,,,,,,,SHOOTING,,,,,,,,,PASSING,,,,,PUCK CONTROL,,,,,DEFENSE,,,FACEOFFS,,,,,,,,,,,
Gamertag,Platform,Primary position,Record,Wins,Losses,Overtime losses,Games played,Goals,Assists,Points,Points per game,Shots,Passes,Hits,Giveaways,Takeaways,Interceptions,Blocks,Penalty minutes,plus minus,Goals per game,Scoring percentage,Shot Attempts,Missed Shots,Shots on net percentage,Powerplay goals,Shorthanded goals,Deflections,Assists per game,Pass attempts,Pass attempts per game,Passes per game,Passing percentage,Saucer passes,Saucer passes per game,Giveaways per game,Puck Possession per game,Penalties drawn,Hits per game,Interceptions per game,Takeaways per game,Blocks per game,Penalty Clears,Faceoffs won,Faceoffs lost,Faceoff percentage,Time on ice,Powerplay time on ice,Shorthanded time on ice,,,,,,
Username,Plat,Pos,Rec,WIN,LOSS,OTL,GP,G,A,PTS,PTS/GP,S,P,Hit,GA,TA,Int,Blk,PIM,+/-,G/GP,S%,SA,MS,SoN%,PPG,SHG,Defl,A/GP,PA,PA/GP,P/GP,P%,SP,SP/GP,GA/GP,PossMPG,PenDr,Hit/GP,Int/GP,TA/GP,Blk/GP,PKClr,FOW,FOL,FO%,TOI,PP TOI,SH TOI,EV TOI,SkEV TOI,EV S%,EVO,GAR,WAR
ARMYabnVETe6,xbsx,LW,0-12-0,0,12,0,12,4,24,28,2.3,55,187,14,98,44,69,11,28,-55,0.3,5.30%,75,20,74.61,0,0,0,2,235,19.58,15.58,79.57%,0,0,8.17,6.61,3,1.17,5.75,3.67,0.92,0,28,25,52.83%,681,6,3,711,59.25,5.27%,0.33,-1.54,45.22%
Thrash3rFan,xbsx,D,2-7-2000,2,7,2000,9,8,14,22,2.4,33,118,11,37,30,39,21,2,-28,0.9,19.50%,41,8,82.87,0,0,5,1.6,150,16.67,13.11,79.33%,1,0.11,4.11,3.62,0,1.22,4.33,3.33,2.33,0,45,49,47.87%,529,0,0,540,60,19.51%,0.89,-0.84,63.66%
hawks8502,ps5,LW,2-1-2000,2,1,2000,3,7,11,18,6,37,50,24,51,12,15,2,0,4,2.3,14.60%,48,11,76.15,0,0,1,3.7,72,24,16.67,69.44%,0,0,17,8.57,2,8,5,4,0.67,0,0,0,0,193,4,2,174,58,14.10%,2.26,0.15,83.87%
Smokeypickle449,xbsx,D,1-7-2000,1,7,2000,8,4,13,17,2.1,25,134,17,44,31,36,20,0,-39,0.5,10.50%,38,13,55.73,0,0,0,1.6,168,21,16.75,80.36%,1,0.13,5.5,4.76,2,2.13,4.5,3.88,2.5,0,0,0,0,428,4,2,474,59.25,10.39%,0.49,-1.42,63.41%
FAZE_T0XIC_18,ps5,LW,0-3-0,0,3,0,3,10,7,17,5.7,21,53,26,36,13,19,0,4,-12,3.3,37.00%,27,6,77.59,0,0,0,2.3,74,24.67,17.67,71.62%,0,0,12,7.17,1,8.67,6.33,4.33,0,0,0,0,0,180,2,1,177,59,36.42%,3.28,0,75.77%
PapaPalpatine79,ps5,D,0-6-0,0,6,0,6,10,5,15,2.5,37,89,48,35,19,29,5,12,-27,1.7,21.30%,47,10,77.6,0,0,0,0.8,106,17.67,14.83,83.96%,0,0,5.83,4.97,1,8,4.83,3.17,0.83,0,0,0,0,328,2,1,357,59.5,21.10%,1.65,-0.3,60.18%
OPGMshadow,xbsx,C,2000-3-1,2000,3,1,4,6,7,13,3.3,22,43,17,32,22,26,3,10,-20,1.5,20.70%,29,7,80.95,0,0,0,1.8,54,13.5,10.75,79.63%,0,0,8,5.58,1,4.25,6.5,5.5,0.75,0,45,43,51.14%,216,2,1,237,59.25,20.43%,1.48,-0.63,65.32%
StickWizard94,ps5,D,1-2-2000,1,2,2000,3,6,6,12,4,15,52,25,41,18,31,5,2,-5,2,17.60%,34,19,44.58,0,0,0,2,66,22,17.33,78.79%,0,0,13.67,8.44,1,8.33,10.33,6,1.67,0,0,0,0,180,2,1,177,59,17.35%,1.97,0.14,72.53%
Webber1786,ps5,LW,1-1-2000,1,1,2000,2,5,6,11,5.5,13,18,5,20,6,8,0,6,1,2.5,29.40%,17,4,75.96,0,0,0,3,22,11,9,81.82%,0,0,10,5.44,0,2.5,4,3,0,0,0,0,0,120,0,0,120,60,29.41%,2.5,0.6,62.47%
Mattattack4072,ps5,C,1-2-2000,1,2,2000,3,3,8,11,3.7,10,55,4,32,16,39,2,4,-6,1,23.10%,13,3,81.11,0,0,0,2.7,73,24.33,18.33,75.34%,0,0,10.67,6.23,2,1.33,13,5.33,0.67,0,39,39,50.00%,178,4,2,174,58,22.31%,0.97,-1.04,78.16%
